stock_code,stock_name,market_detail,market
196170,알테오젠,KOSDAQ GLOBAL,KOSDAQ
247540,에코프로비엠,KOSDAQ GLOBAL,KOSDAQ
028300,HLB,KOSDAQ,KOSDAQ
086520,에코프로,KOSDAQ,KOSDAQ
277810,레인보우로보틱스,KOSDAQ,KOSDAQ
950160,코오롱티슈진,KOSDAQ,KOSDAQ
000250,삼천당제약,KOSDAQ,KOSDAQ
145020,휴젤,KOSDAQ GLOBAL,KOSDAQ
141080,리가켐바이오,KOSDAQ GLOBAL,KOSDAQ
214150,클래시스,KOSDAQ GLOBAL,KOSDAQ
214450,파마리서치,KOSDAQ GLOBAL,KOSDAQ
058470,리노공업,KOSDAQ GLOBAL,KOSDAQ
310210,보로노이,KOSDAQ,KOSDAQ
403870,HPSP,KOSDAQ GLOBAL,KOSDAQ
041510,에스엠,KOSDAQ,KOSDAQ
068760,셀트리온제약,KOSDAQ,KOSDAQ
035900,JYP Ent.,KOSDAQ GLOBAL,KOSDAQ
087010,펩트론,KOSDAQ,KOSDAQ
298380,에이비엘바이오,KOSDAQ,KOSDAQ
263750,펄어비스,KOSDAQ GLOBAL,KOSDAQ
036930,주성엔지니어링,KOSDAQ GLOBAL,KOSDAQ
065350,신성델타테크,KOSDAQ,KOSDAQ
348370,엔켐,KOSDAQ,KOSDAQ
039030,이오테크닉스,KOSDAQ GLOBAL,KOSDAQ
328130,루닛,KOSDAQ,KOSDAQ
005290,동진쎄미켐,KOSDAQ,KOSDAQ
078600,대주전자재료,KOSDAQ,KOSDAQ
257720,실리콘투,KOSDAQ,KOSDAQ
357780,솔브레인,KOSDAQ,KOSDAQ
237690,에스티팜,KOSDAQ GLOBAL,KOSDAQ
089030,테크윙,KOSDAQ,KOSDAQ
214370,케어젠,KOSDAQ,KOSDAQ
082270,젬백스,KOSDAQ,KOSDAQ
253450,스튜디오드래곤,KOSDAQ GLOBAL,KOSDAQ
140860,파크시스템스,KOSDAQ,KOSDAQ
042000,카페24,KOSDAQ,KOSDAQ
095340,ISC,KOSDAQ,KOSDAQ
293490,카카오게임즈,KOSDAQ GLOBAL,KOSDAQ
096530,씨젠,KOSDAQ,KOSDAQ
240810,원익IPS,KOSDAQ GLOBAL,KOSDAQ
018290,브이티,KOSDAQ,KOSDAQ
178320,서진시스템,KOSDAQ,KOSDAQ
039200,오스코텍,KOSDAQ,KOSDAQ
035760,CJ ENM,KOSDAQ GLOBAL,KOSDAQ
122870,와이지엔터테인먼트,KOSDAQ GLOBAL,KOSDAQ
098460,고영,KOSDAQ,KOSDAQ
067630,HLB생명과학,KOSDAQ,KOSDAQ
007390,네이처셀,KOSDAQ,KOSDAQ
064760,티씨케이,KOSDAQ GLOBAL,KOSDAQ
281740,레이크머티리얼즈,KOSDAQ,KOSDAQ
232140,와이씨,KOSDAQ,KOSDAQ
112040,위메이드,KOSDAQ,KOSDAQ
137400,피엔티,KOSDAQ GLOBAL,KOSDAQ
195940,HK이노엔,KOSDAQ GLOBAL,KOSDAQ
160190,하이젠알앤엠,KOSDAQ,KOSDAQ
067160,SOOP,KOSDAQ GLOBAL,KOSDAQ
204270,제이앤티씨,KOSDAQ,KOSDAQ
084370,유진테크,KOSDAQ,KOSDAQ
086900,메디톡스,KOSDAQ,KOSDAQ
376300,디어유,KOSDAQ,KOSDAQ
031980,피에스케이홀딩스,KOSDAQ,KOSDAQ
161580,필옵틱스,KOSDAQ,KOSDAQ
078130,국일제지,KOSDAQ,KOSDAQ
417200,LS머트리얼즈,KOSDAQ,KOSDAQ
053800,안랩,KOSDAQ,KOSDAQ
323280,태성,KOSDAQ,KOSDAQ
121600,나노신소재,KOSDAQ,KOSDAQ
047920,HLB제약,KOSDAQ,KOSDAQ
225570,넥슨게임즈,KOSDAQ,KOSDAQ
226950,올릭스,KOSDAQ,KOSDAQ
067310,하나마이크론,KOSDAQ,KOSDAQ
014620,성광벤드,KOSDAQ,KOSDAQ
101490,에스앤에스텍,KOSDAQ,KOSDAQ
140410,메지온,KOSDAQ,KOSDAQ
213420,덕산네오룩스,KOSDAQ GLOBAL,KOSDAQ
166090,하나머티리얼즈,KOSDAQ GLOBAL,KOSDAQ
033500,동성화인텍,KOSDAQ,KOSDAQ
058970,엠로,KOSDAQ,KOSDAQ
056190,에스에프에이,KOSDAQ GLOBAL,KOSDAQ
388720,유일로보틱스,KOSDAQ,KOSDAQ
222800,심텍,KOSDAQ GLOBAL,KOSDAQ
440110,파두,KOSDAQ,KOSDAQ
036830,솔브레인홀딩스,KOSDAQ GLOBAL,KOSDAQ
358570,지아이이노베이션,KOSDAQ,KOSDAQ
086450,동국제약,KOSDAQ GLOBAL,KOSDAQ
101730,위메이드맥스,KOSDAQ,KOSDAQ
085660,차바이오텍,KOSDAQ,KOSDAQ
115450,HLB테라퓨틱스,KOSDAQ,KOSDAQ
340570,티앤엘,KOSDAQ,KOSDAQ
023160,태광,KOSDAQ,KOSDAQ
082920,비츠로셀,KOSDAQ,KOSDAQ
222080,씨아이에스,KOSDAQ,KOSDAQ
383310,에코프로에이치엔,KOSDAQ GLOBAL,KOSDAQ
319660,피에스케이,KOSDAQ GLOBAL,KOSDAQ
348210,넥스틴,KOSDAQ GLOBAL,KOSDAQ
009520,포스코엠텍,KOSDAQ GLOBAL,KOSDAQ
099320,쎄트렉아이,KOSDAQ,KOSDAQ
033100,제룡전기,KOSDAQ,KOSDAQ
083650,비에이치아이,KOSDAQ,KOSDAQ
025320,시노펙스,KOSDAQ,KOSDAQ
003380,하림지주,KOSDAQ GLOBAL,KOSDAQ
460930,현대힘스,KOSDAQ,KOSDAQ
399720,가온칩스,KOSDAQ,KOSDAQ
183300,코미코,KOSDAQ GLOBAL,KOSDAQ
131970,두산테스나,KOSDAQ GLOBAL,KOSDAQ
048410,현대바이오,KOSDAQ,KOSDAQ
251970,펌텍코리아,KOSDAQ,KOSDAQ
078340,컴투스,KOSDAQ GLOBAL,KOSDAQ
058610,에스피지,KOSDAQ,KOSDAQ
347850,디앤디파마텍,KOSDAQ,KOSDAQ
336570,원텍,KOSDAQ,KOSDAQ
220100,퓨쳐켐,KOSDAQ,KOSDAQ
131290,티에스이,KOSDAQ,KOSDAQ
074600,원익QnC,KOSDAQ GLOBAL,KOSDAQ
084110,휴온스글로벌,KOSDAQ,KOSDAQ
060370,LS마린솔루션,KOSDAQ,KOSDAQ
080220,제주반도체,KOSDAQ,KOSDAQ
041190,우리기술투자,KOSDAQ,KOSDAQ
036540,SFA반도체,KOSDAQ,KOSDAQ
475830,오름테라퓨틱,KOSDAQ,KOSDAQ
053030,바이넥스,KOSDAQ,KOSDAQ
025900,동화기업,KOSDAQ,KOSDAQ
025980,아난티,KOSDAQ,KOSDAQ
317330,덕산테코피아,KOSDAQ,KOSDAQ
466100,클로봇,KOSDAQ,KOSDAQ
253590,네오셈,KOSDAQ,KOSDAQ
272290,이녹스첨단소재,KOSDAQ GLOBAL,KOSDAQ
101360,에코앤드림,KOSDAQ,KOSDAQ
052020,에스티큐브,KOSDAQ,KOSDAQ
030520,한글과컴퓨터,KOSDAQ,KOSDAQ
036810,에프에스티,KOSDAQ,KOSDAQ
290650,엘앤씨바이오,KOSDAQ,KOSDAQ
079370,제우스,KOSDAQ,KOSDAQ
194480,데브시스터즈,KOSDAQ,KOSDAQ
335890,비올,KOSDAQ,KOSDAQ
095610,테스,KOSDAQ,KOSDAQ
241710,코스메카코리아,KOSDAQ,KOSDAQ
095660,네오위즈,KOSDAQ,KOSDAQ
200670,휴메딕스,KOSDAQ,KOSDAQ
069080,웹젠,KOSDAQ GLOBAL,KOSDAQ
108490,로보티즈,KOSDAQ,KOSDAQ
089010,켐트로닉스,KOSDAQ,KOSDAQ
050890,쏠리드,KOSDAQ,KOSDAQ
029960,코엔텍,KOSDAQ,KOSDAQ
102940,코오롱생명과학,KOSDAQ,KOSDAQ
094170,동운아나텍,KOSDAQ,KOSDAQ
189300,인텔리안테크,KOSDAQ,KOSDAQ
171090,선익시스템,KOSDAQ,KOSDAQ
099190,아이센스,KOSDAQ,KOSDAQ
218410,RFHIC,KOSDAQ,KOSDAQ
179900,유티아이,KOSDAQ,KOSDAQ
015750,성우하이텍,KOSDAQ,KOSDAQ
099430,바이오플러스,KOSDAQ,KOSDAQ
206650,유바이오로직스,KOSDAQ,KOSDAQ
365340,성일하이텍,KOSDAQ,KOSDAQ
032190,다우데이타,KOSDAQ,KOSDAQ
214430,아이쓰리시스템,KOSDAQ,KOSDAQ
319400,현대무벡스,KOSDAQ,KOSDAQ
025950,동신건설,KOSDAQ,KOSDAQ
352480,씨앤씨인터내셔널,KOSDAQ,KOSDAQ
455900,엔젤로보틱스,KOSDAQ,KOSDAQ
064550,바이오니아,KOSDAQ,KOSDAQ
215200,메가스터디교육,KOSDAQ GLOBAL,KOSDAQ
228760,지노믹트리,KOSDAQ,KOSDAQ
051980,중앙첨단소재,KOSDAQ,KOSDAQ
052400,코나아이,KOSDAQ,KOSDAQ
034950,한국기업평가,KOSDAQ,KOSDAQ
091700,파트론,KOSDAQ GLOBAL,KOSDAQ
372320,큐로셀,KOSDAQ,KOSDAQ
046890,서울반도체,KOSDAQ GLOBAL,KOSDAQ
378340,필에너지,KOSDAQ,KOSDAQ
200130,콜마비앤에이치,KOSDAQ GLOBAL,KOSDAQ
314930,바이오다인,KOSDAQ,KOSDAQ
215000,골프존,KOSDAQ GLOBAL,KOSDAQ
176750,듀켐바이오,KOSDAQ,KOSDAQ
060280,큐렉소,KOSDAQ,KOSDAQ
083450,GST,KOSDAQ,KOSDAQ
420770,기가비스,KOSDAQ,KOSDAQ
068240,다원시스,KOSDAQ,KOSDAQ
006730,서부T&D,KOSDAQ,KOSDAQ
030530,원익홀딩스,KOSDAQ,KOSDAQ
397030,에이프릴바이오,KOSDAQ,KOSDAQ
039440,에스티아이,KOSDAQ,KOSDAQ
094360,칩스앤미디어,KOSDAQ,KOSDAQ
278280,천보,KOSDAQ,KOSDAQ
237880,클리오,KOSDAQ,KOSDAQ
437730,삼현,KOSDAQ,KOSDAQ
389650,넥스트바이오메디컬,KOSDAQ,KOSDAQ
102710,이엔에프테크놀로지,KOSDAQ,KOSDAQ
445090,에이직랜드,KOSDAQ,KOSDAQ
093320,케이아이엔엑스,KOSDAQ,KOSDAQ
452450,피아이이,KOSDAQ,KOSDAQ
475400,씨메스,KOSDAQ,KOSDAQ
013030,하이록코리아,KOSDAQ,KOSDAQ
144510,지씨셀,KOSDAQ,KOSDAQ
418550,제이오,KOSDAQ,KOSDAQ
114840,아이패밀리에스씨,KOSDAQ,KOSDAQ
108860,셀바스AI,KOSDAQ,KOSDAQ
082800,비보존 제약,KOSDAQ,KOSDAQ
206640,바디텍메드,KOSDAQ,KOSDAQ
035890,서희건설,KOSDAQ,KOSDAQ
217270,넵튠,KOSDAQ,KOSDAQ
038500,삼표시멘트,KOSDAQ,KOSDAQ
101930,인화정공,KOSDAQ,KOSDAQ
101160,월덱스,KOSDAQ,KOSDAQ
060250,NHN KCP,KOSDAQ GLOBAL,KOSDAQ
119610,인터로조,KOSDAQ,KOSDAQ
215600,신라젠,KOSDAQ,KOSDAQ
036620,감성코퍼레이션,KOSDAQ,KOSDAQ
136480,하림,KOSDAQ,KOSDAQ
024850,HLB이노베이션,KOSDAQ,KOSDAQ
288330,브릿지바이오테라퓨틱스,KOSDAQ,KOSDAQ
059090,미코,KOSDAQ,KOSDAQ
348340,뉴로메카,KOSDAQ,KOSDAQ
338220,뷰노,KOSDAQ,KOSDAQ
078160,메디포스트,KOSDAQ,KOSDAQ
032820,우리기술,KOSDAQ,KOSDAQ
394280,오픈엣지테크놀로지,KOSDAQ,KOSDAQ
044490,태웅,KOSDAQ,KOSDAQ
041830,인바디,KOSDAQ,KOSDAQ
450950,아스테라시스,KOSDAQ,KOSDAQ
416180,신성에스티,KOSDAQ,KOSDAQ
334970,프레스티지바이오로직스,KOSDAQ,KOSDAQ
032500,케이엠더블유,KOSDAQ,KOSDAQ
094480,갤럭시아머니트리,KOSDAQ,KOSDAQ
043150,바텍,KOSDAQ,KOSDAQ
243070,휴온스,KOSDAQ GLOBAL,KOSDAQ
049070,인탑스,KOSDAQ,KOSDAQ
304100,솔트룩스,KOSDAQ,KOSDAQ
211050,인카금융서비스,KOSDAQ,KOSDAQ
304360,에스바이오메딕스,KOSDAQ,KOSDAQ
045100,한양이엔지,KOSDAQ,KOSDAQ
056080,유진로봇,KOSDAQ,KOSDAQ
439090,마녀공장,KOSDAQ,KOSDAQ
204620,글로벌텍스프리,KOSDAQ,KOSDAQ
067080,대화제약,KOSDAQ,KOSDAQ
199800,툴젠,KOSDAQ,KOSDAQ
393890,더블유씨피,KOSDAQ GLOBAL,KOSDAQ
018310,삼목에스폼,KOSDAQ,KOSDAQ
252990,샘씨엔에스,KOSDAQ,KOSDAQ
372170,윤성에프앤씨,KOSDAQ,KOSDAQ
230240,에치에프알,KOSDAQ,KOSDAQ
025770,한국정보통신,KOSDAQ,KOSDAQ
065500,오리엔트정공,KOSDAQ,KOSDAQ
041960,코미팜,KOSDAQ,KOSDAQ
051360,토비스,KOSDAQ,KOSDAQ
041020,폴라리스오피스,KOSDAQ,KOSDAQ
900290,GRT,KOSDAQ,KOSDAQ
148150,세경하이테크,KOSDAQ,KOSDAQ
110990,디아이티,KOSDAQ,KOSDAQ
119850,지엔씨에너지,KOSDAQ,KOSDAQ
265520,AP시스템,KOSDAQ,KOSDAQ
084850,아이티엠반도체,KOSDAQ GLOBAL,KOSDAQ
031330,에스에이엠티,KOSDAQ,KOSDAQ
458650,성우,KOSDAQ,KOSDAQ
445680,큐리옥스바이오시스템즈,KOSDAQ,KOSDAQ
105550,엣지파운드리,KOSDAQ,KOSDAQ
230360,에코마케팅,KOSDAQ,KOSDAQ
003800,에이스침대,KOSDAQ,KOSDAQ
104830,원익머트리얼즈,KOSDAQ,KOSDAQ
054950,제이브이엠,KOSDAQ,KOSDAQ
389020,자람테크놀로지,KOSDAQ,KOSDAQ
091120,이엠텍,KOSDAQ,KOSDAQ
267980,매일유업,KOSDAQ,KOSDAQ
071280,로체시스템즈,KOSDAQ,KOSDAQ
295310,에이치브이엠,KOSDAQ,KOSDAQ
256840,한국비엔씨,KOSDAQ,KOSDAQ
053610,프로텍,KOSDAQ,KOSDAQ
014940,오리엔탈정공,KOSDAQ,KOSDAQ
357550,석경에이티,KOSDAQ,KOSDAQ
065680,우주일렉트로,KOSDAQ,KOSDAQ
360070,탑머티리얼,KOSDAQ,KOSDAQ
950170,JTC,KOSDAQ,KOSDAQ
095500,미래나노텍,KOSDAQ,KOSDAQ
117730,티로보틱스,KOSDAQ,KOSDAQ
216080,제테마,KOSDAQ,KOSDAQ
122640,예스티,KOSDAQ,KOSDAQ
027360,아주IB투자,KOSDAQ,KOSDAQ
298830,슈어소프트테크,KOSDAQ,KOSDAQ
356680,엑스게이트,KOSDAQ,KOSDAQ
168360,펨트론,KOSDAQ,KOSDAQ
045660,에이텍,KOSDAQ,KOSDAQ
023410,유진기업,KOSDAQ,KOSDAQ
067390,아스트,KOSDAQ,KOSDAQ
089970,브이엠,KOSDAQ,KOSDAQ
255220,SG,KOSDAQ,KOSDAQ
371950,풍원정밀,KOSDAQ,KOSDAQ
308430,셀비온,KOSDAQ,KOSDAQ
100790,미래에셋벤처투자,KOSDAQ,KOSDAQ
368770,파이버프로,KOSDAQ,KOSDAQ
200710,에이디테크놀로지,KOSDAQ,KOSDAQ
086390,유니테스트,KOSDAQ,KOSDAQ
121800,비덴트,KOSDAQ,KOSDAQ
126700,하이비젼시스템,KOSDAQ,KOSDAQ
151860,KG에코솔루션,KOSDAQ,KOSDAQ
402030,코난테크놀로지,KOSDAQ,KOSDAQ
419530,SAMG엔터,KOSDAQ,KOSDAQ
058820,CMG제약,KOSDAQ,KOSDAQ
150840,인트로메딕,KOSDAQ,KOSDAQ
089980,상아프론테크,KOSDAQ,KOSDAQ
179290,엠아이텍,KOSDAQ,KOSDAQ
115180,큐리언트,KOSDAQ,KOSDAQ
090360,로보스타,KOSDAQ,KOSDAQ
182360,큐브엔터,KOSDAQ,KOSDAQ
096040,이트론,KOSDAQ,KOSDAQ
051500,CJ프레시웨이,KOSDAQ,KOSDAQ
083930,아바코,KOSDAQ,KOSDAQ
039840,디오,KOSDAQ,KOSDAQ
114810,한솔아이원스,KOSDAQ,KOSDAQ
123860,아나패스,KOSDAQ,KOSDAQ
035600,KG이니시스,KOSDAQ,KOSDAQ
118990,모트렉스,KOSDAQ,KOSDAQ
060150,인선이엔티,KOSDAQ,KOSDAQ
112290,와이씨켐,KOSDAQ,KOSDAQ
043370,피에이치에이,KOSDAQ,KOSDAQ
208340,파멥신,KOSDAQ,KOSDAQ
048870,시너지이노베이션,KOSDAQ,KOSDAQ
322310,오로스테크놀로지,KOSDAQ,KOSDAQ
432720,퀄리타스반도체,KOSDAQ,KOSDAQ
100120,뷰웍스,KOSDAQ,KOSDAQ
263720,디앤씨미디어,KOSDAQ,KOSDAQ
060720,KH바텍,KOSDAQ,KOSDAQ
090710,휴림로봇,KOSDAQ,KOSDAQ
005160,동국산업,KOSDAQ,KOSDAQ
054450,텔레칩스,KOSDAQ,KOSDAQ
473980,노머스,KOSDAQ,KOSDAQ
464080,에스오에스랩,KOSDAQ,KOSDAQ
036890,진성티이씨,KOSDAQ,KOSDAQ
045390,대아티아이,KOSDAQ,KOSDAQ
034810,해성산업,KOSDAQ,KOSDAQ
393970,대진첨단소재,KOSDAQ,KOSDAQ
061970,LB세미콘,KOSDAQ,KOSDAQ
290690,소룩스,KOSDAQ,KOSDAQ
102120,어보브반도체,KOSDAQ,KOSDAQ
199820,제일일렉트릭,KOSDAQ,KOSDAQ
425420,티에프이,KOSDAQ,KOSDAQ
078150,HB테크놀러지,KOSDAQ,KOSDAQ
036200,유니셈,KOSDAQ,KOSDAQ
057880,푸른소나무,KOSDAQ,KOSDAQ
389260,대명에너지,KOSDAQ,KOSDAQ
144960,뉴파워프라즈마,KOSDAQ,KOSDAQ
240550,동방메디컬,KOSDAQ,KOSDAQ
051370,인터플렉스,KOSDAQ,KOSDAQ
047560,이스트소프트,KOSDAQ,KOSDAQ
013120,동원개발,KOSDAQ,KOSDAQ
323990,박셀바이오,KOSDAQ,KOSDAQ
086820,바이오솔루션,KOSDAQ,KOSDAQ
077360,덕산하이메탈,KOSDAQ,KOSDAQ
107640,한중엔시에스,KOSDAQ,KOSDAQ
205470,휴마시스,KOSDAQ,KOSDAQ
293780,압타바이오,KOSDAQ,KOSDAQ
299900,위지윅스튜디오,KOSDAQ,KOSDAQ
489500,엘케이켐,KOSDAQ,KOSDAQ
174900,앱클론,KOSDAQ,KOSDAQ
078020,LS증권,KOSDAQ,KOSDAQ
079940,가비아,KOSDAQ,KOSDAQ
260970,에스앤디,KOSDAQ,KOSDAQ
042370,비츠로테크,KOSDAQ,KOSDAQ
036220,오상헬스케어,KOSDAQ,KOSDAQ
114190,강원에너지,KOSDAQ,KOSDAQ
448280,에코아이,KOSDAQ,KOSDAQ
064820,케이프,KOSDAQ,KOSDAQ
086890,이수앱지스,KOSDAQ,KOSDAQ
297890,HB솔루션,KOSDAQ,KOSDAQ
236200,슈프리마,KOSDAQ,KOSDAQ
482630,삼양엔씨켐,KOSDAQ,KOSDAQ
092730,네오팜,KOSDAQ,KOSDAQ
064260,다날,KOSDAQ,KOSDAQ
068930,디지털대성,KOSDAQ,KOSDAQ
092040,아미코젠,KOSDAQ,KOSDAQ
008830,대동기어,KOSDAQ,KOSDAQ
322510,제이엘케이,KOSDAQ,KOSDAQ
039980,폴라리스AI,KOSDAQ,KOSDAQ
211270,AP위성,KOSDAQ,KOSDAQ
443670,에스피소프트,KOSDAQ,KOSDAQ
024810,이화전기,KOSDAQ,KOSDAQ
017890,한국알콜,KOSDAQ,KOSDAQ
337930,브랜드엑스코퍼레이션,KOSDAQ,KOSDAQ
394800,쓰리빌리언,KOSDAQ,KOSDAQ
049950,미래컴퍼니,KOSDAQ,KOSDAQ
377450,리파인,KOSDAQ,KOSDAQ
441270,파인엠텍,KOSDAQ,KOSDAQ
095700,제넥신,KOSDAQ,KOSDAQ
356860,티엘비,KOSDAQ,KOSDAQ
065660,안트로젠,KOSDAQ,KOSDAQ
424960,스마트레이더시스템,KOSDAQ,KOSDAQ
270660,에브리봇,KOSDAQ,KOSDAQ
067280,멀티캠퍼스,KOSDAQ,KOSDAQ
950130,엑세스바이오,KOSDAQ,KOSDAQ
086980,쇼박스,KOSDAQ,KOSDAQ
294570,쿠콘,KOSDAQ,KOSDAQ
456070,이엔셀,KOSDAQ,KOSDAQ
035810,이지홀딩스,KOSDAQ,KOSDAQ
190510,나무가,KOSDAQ,KOSDAQ
123330,제닉,KOSDAQ,KOSDAQ
035080,그래디언트,KOSDAQ,KOSDAQ
462350,이노스페이스,KOSDAQ,KOSDAQ
475960,토모큐브,KOSDAQ,KOSDAQ
278650,HLB바이오스텝,KOSDAQ,KOSDAQ
472850,폰드그룹,KOSDAQ,KOSDAQ
243840,신흥에스이씨,KOSDAQ,KOSDAQ
109610,에스와이,KOSDAQ,KOSDAQ
016790,현대사료,KOSDAQ,KOSDAQ
036030,케이티알파,KOSDAQ,KOSDAQ
476060,온코닉테라퓨틱스,KOSDAQ,KOSDAQ
053300,한국정보인증,KOSDAQ,KOSDAQ
078350,한양디지텍,KOSDAQ,KOSDAQ
143240,사람인,KOSDAQ,KOSDAQ
019210,와이지-원,KOSDAQ,KOSDAQ
036560,영풍정밀,KOSDAQ,KOSDAQ
458870,씨어스테크놀로지,KOSDAQ,KOSDAQ
299030,하나기술,KOSDAQ,KOSDAQ
080420,모다이노칩,KOSDAQ,KOSDAQ
038290,마크로젠,KOSDAQ,KOSDAQ
365330,에스와이스틸텍,KOSDAQ,KOSDAQ
332570,와이팜,KOSDAQ,KOSDAQ
080160,모두투어,KOSDAQ,KOSDAQ
083310,엘오티베큠,KOSDAQ,KOSDAQ
033160,엠케이전자,KOSDAQ,KOSDAQ
336680,탑런토탈솔루션,KOSDAQ,KOSDAQ
354320,알멕,KOSDAQ,KOSDAQ
254490,미래반도체,KOSDAQ,KOSDAQ
251370,와이엠티,KOSDAQ,KOSDAQ
033640,네패스,KOSDAQ,KOSDAQ
032620,유비케어,KOSDAQ,KOSDAQ
013990,아가방컴퍼니,KOSDAQ,KOSDAQ
063570,한국전자금융,KOSDAQ,KOSDAQ
122990,와이솔,KOSDAQ,KOSDAQ
036800,나이스정보통신,KOSDAQ,KOSDAQ
047310,파워로직스,KOSDAQ,KOSDAQ
084650,랩지노믹스,KOSDAQ,KOSDAQ
456010,아이씨티케이,KOSDAQ,KOSDAQ
023760,한국캐피탈,KOSDAQ,KOSDAQ
011040,경동제약,KOSDAQ,KOSDAQ
093520,매커스,KOSDAQ,KOSDAQ
092870,엑시콘,KOSDAQ,KOSDAQ
073010,케이에스피,KOSDAQ,KOSDAQ
060590,씨티씨바이오,KOSDAQ,KOSDAQ
